family,genus,species,subspecies,chromostome_number_2n,ploidy_level_x,dna_amount_1c_pg,c_value_reference,c_value_note
Solanaceae,Solanum,Solanum pennellii,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum pennellii var. puberulum,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum peruvianum,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum pimpinellifolium,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum pyracantha,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum simile,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum sitiens,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum sodomaeum,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum sodomeum,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum symonii,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum triflorum,NA,NA,NA,NA,NA,
Solanaceae,Solanum,Solanum tuberosum,NA,24,2,0.89,marie_cytometric_1993,used diploid
Thymelaeaceae,Diarthron,Diarthron linifolium,NA,NA,NA,NA,NA,
Thymelaeaceae,Stellera,Stellera chamaejasme,NA,NA,NA,NA,NA,
Tropaeolaceae,Tropaeolum,Tropaeolum majus,NA,28,2,1.4,nagl_nuclear_1977,used diploid
Typhaceae,Typha,Typha angustifolia,NA,30,2,0.23,smarda_ecological_2014,
Typhaceae,Typha,Typha orientalis,NA,NA,NA,NA,NA,
Ulmaceae,Ulmus,Ulmus glabra,NA,56,4,1.99,pustahija_small_2013,
Ulmaceae,Ulmus,Ulmus minor,NA,NA,NA,2.13,loureiro_genome_2007,
Ulmaceae,Ulmus,Ulmus parvifolia,NA,NA,NA,NA,NA,
Ulmaceae,Ulmus,Ulmus pumila,NA,NA,NA,NA,NA,
Ulmaceae,Zelkova,Zelkova serrata,NA,NA,NA,NA,NA,
Violaceae,Viola,Viola arvensis,NA,NA,NA,NA,NA,
Violaceae,Viola,Viola betonicifolia,NA,NA,NA,NA,NA,
Violaceae,Viola,Viola canescens,NA,NA,NA,NA,NA,
Violaceae,Viola,Viola odorata,NA,NA,NA,NA,NA,
Violaceae,Viola,Viola pilosa,NA,NA,NA,NA,NA,
Vitaceae,Vitis,Vitis vinifera,cv. Pinot Noiri,38,2,0.4,lodhi_nuclear_1995,
Zingiberaceae,Alpinia,Alpinia japonica,NA,NA,NA,NA,NA,
Zingiberaceae,Hedychium,Hedychium spicatum,NA,NA,NA,NA,NA,
Zygophyllaceae,Balanites,Balanites aegyptiaca,NA,NA,NA,NA,NA,
