family,genus,species
Poaceae,Alopecurus,Alopecurus apiatus
Poaceae,Alopecurus,Alopecurus arundinaceus
Poaceae,Alopecurus,Alopecurus textilis
Poaceae,Arrhenatherum,Arrhenatherum elatius var. subhirsutum
Poaceae,Arundinella,Arundinella hirta
Poaceae,Arundo,Arundo donax
Poaceae,Avena,Avena barbata
Poaceae,Avena,Avena eriantha
Poaceae,Avena,Avena sativa
Poaceae,Bothriochloa,Bothriochloa ischaemum
Poaceae,Brachiaria,Brachiaria dictyoneura
Poaceae,Brachypodium,Brachypodium sylvaticum
Poaceae,Briza,Briza media
Poaceae,Bromus,Bromus adjaricus
Poaceae,Bromus,Bromus catharticus
Poaceae,Bromus,Bromus japonicus
Poaceae,Bromus,Bromus ramosus
Poaceae,Bromus,Bromus scoparius
Poaceae,Bromus,Bromus sterilis
Poaceae,Bromus,Bromus tectorum
Poaceae,Bromus,Bromus tomentellus
Poaceae,Calamagrostis,Calamagrostis epigeios
Poaceae,Catabrosa,Catabrosa aquatica
Poaceae,Chloris,Chloris gayana
Poaceae,Chrysopogon,Chrysopogon gryllus
Poaceae,Cleistogenes,Cleistogenes squarrosa
Poaceae,Coix,Coix lacryma-jobi var. ma-yuen
Poaceae,Cynodon,Cynodon dactylon
Poaceae,Dactylis,Dactylis glomerata
Poaceae,Danthoniopsis,Danthoniopsis dinteri
Poaceae,Digitaria,Digitaria sanguinalis
Poaceae,Echinochloa,Echinochloa colona
Poaceae,Echinochloa,Echinochloa crus-galli
Poaceae,Echinochloa,Echinochloa crus-galli var. edulis
Poaceae,Echinochloa,Echinochloa crus-galli var. frumentacea
Poaceae,Echinochloa,Echinochloa crus-galli var. hispidula
Poaceae,Echinochloa,Echinochloa esculenta
Poaceae,Eleusine,Eleusine coracana
Poaceae,Eleusine,Eleusine indica
Poaceae,Elymus,Elymus nutans
Poaceae,Eragrostis,Eragrostis curvula
Poaceae,Eragrostis,Eragrostis ferruginea
Poaceae,Eriachne,Eriachne aristidea
Poaceae,Eriochloa,Eriochloa sericea
Poaceae,Fargesia,Fargesia spathacea
Poaceae,Festuca,Festuca ovina
Poaceae,Festuca,Festuca sulcata
Poaceae,Helictotrichon,Helictotrichon pubescens
Poaceae,Heteropogon,Heteropogon contortus
Poaceae,Hordeum,Hordeum bulbosum
Poaceae,Hordeum,Hordeum violaceum
Poaceae,Hordeum,Hordeum vulgare
Poaceae,Hordeum,Hordeum vulgare var. hexastichon
Poaceae,Hymenachne,Hymenachne indica
Poaceae,Imperata,Imperata cylindrica
Poaceae,Ischaemum,Ischaemum afrum
Poaceae,Koeleria,Koeleria macrantha
Poaceae,Leptochloa,Leptochloa chinensis
Poaceae,Leymus,Leymus chinensis
Poaceae,Leymus,Leymus secalinus
Poaceae,Miscanthus,Miscanthus sinensis
Poaceae,Molinia,Molinia caerulea
Poaceae,Oplismenus,Oplismenus undulatifolius
Poaceae,Oryza,Oryza alta
Poaceae,Oryza,Oryza australiensis
Poaceae,Oryza,Oryza barthii
Poaceae,Oryza,Oryza brachyantha
Poaceae,Oryza,Oryza coarctata
Poaceae,Oryza,Oryza glaberrima
Poaceae,Oryza,Oryza glumaepatula
Poaceae,Oryza,Oryza latifolia
Poaceae,Oryza,Oryza longistaminata
Poaceae,Oryza,Oryza meridionalis
Poaceae,Oryza,Oryza minuta
Poaceae,Oryza,Oryza nivara
Poaceae,Oryza,Oryza officinalis
Poaceae,Oryza,Oryza punctata
Poaceae,Oryza,Oryza rhizomatis
Poaceae,Oryza,Oryza rufipogon
Poaceae,Oryza,Oryza sativa
Poaceae,Panicum,Panicum antidotale
Poaceae,Panicum,Panicum bisulcatum
Poaceae,Panicum,Panicum coloratum
Poaceae,Panicum,Panicum dichotomiflorum
Poaceae,Panicum,Panicum maximum
Poaceae,Panicum,Panicum miliaceum
Poaceae,Panicum,Panicum virgatum
Poaceae,Paspalum,Paspalum dilatatum
Poaceae,Paspalum,Paspalum distichum
Poaceae,Paspalum,Paspalum macrophyllum
Poaceae,Pennisetum,Pennisetum alopecuroides
Poaceae,Phalaris,Phalaris arundinacea
Poaceae,Phragmites,Phragmites australis
Poaceae,Poa,Poa aitchisonii
Poaceae,Psammochloa,Psammochloa villosa
Poaceae,Saccharum,Saccharum
Poaceae,Saccharum,Saccharum officinarum
Poaceae,Saccharum,Saccharum sinense
Poaceae,Saccharum,Saccharum spontaneum
Poaceae,Sesleria,Sesleria caerulea
Poaceae,Setaria,Setaria viridis
Poaceae,Sorghum,Sorghum bicolor
Poaceae,Sorghum,Sorghum sudanense
Poaceae,Sporobolus,Sporobolus airoides
Poaceae,Sporobolus,Sporobolus elongatus
Poaceae,Stenotaphrum,Stenotaphrum secundatum
Poaceae,Stipa,Stipa aliena
Poaceae,Stipa,Stipa baicalensis
Poaceae,Stipa,Stipa breviflora
Poaceae,Stipa,Stipa caucasica
Poaceae,Stipa,Stipa caucasica subsp. glareosa
Poaceae,Stipa,Stipa grandis
Poaceae,Stipa,Stipa purpurea
Poaceae,Stipa,Stipa sareptana
Poaceae,Stipa,Stipa tianschanica var. gobica
Poaceae,Stipa,Stipa tianschanica var. klemenzii
Poaceae,Triticum,Triticum aestivum
Poaceae,Triticum,Triticum sativum
Poaceae,Vetiveria,Vetiveria sp.
Poaceae,Zea,Zea mais
Poaceae,Zea,Zea mays
Poaceae,Zizania,Zizania latifolia
Poaceae,Zoysia,Zoysia japonica
Poaceae,Zoysia,Zoysia tenuifolia
Polygalaceae,Polygala,Polygala chamaebuxus
Polygonaceae,Atraphaxis,Atraphaxis spinosa
Polygonaceae,Fagopyrum,Fagopyrum esculentum
Polygonaceae,Polygonum,Polygonum alpestre
Polygonaceae,Polygonum,Polygonum divaricatum
Polygonaceae,Polygonum,Polygonum macrophyllum
Polygonaceae,Polygonum,Polygonum viviparum
Polygonaceae,Rheum,Rheum emodi
Polygonaceae,Rumex,Rumex acetoselloides
Polygonaceae,Rumex,Rumex tuberosus
Pontederiaceae,Pontederia,Pontederia cordata
Primulaceae,Anagallis,Anagallis arvensis
Primulaceae,Androsace,Androsace villosa
Primulaceae,Cyclamen,Cyclamen latifolium
Primulaceae,Primula,Primula auriculata
Primulaceae,Primula,Primula macrocalyx
Primulaceae,Primula,Primula obconica
Primulaceae,Primula,Primula sinensis
Primulaceae,Soldanella,Soldanella alpina
Proteaceae,Stenocarpus,Stenocarpus sinuatus
Ranunculaceae,Aconitum,Aconitum delphinifolium
Ranunculaceae,Actaea,Actaea alba
Ranunculaceae,Actaea,Actaea rubra
Ranunculaceae,Adonis,Adonis aestivalis
Ranunculaceae,Anemone,Anemone albana
Ranunculaceae,Anemone,Anemone nemorosa
Ranunculaceae,Aquilegia,Aquilegia vulgaris
Ranunculaceae,Caltha,Caltha leptosepala
Ranunculaceae,Caltha,Caltha palustris
Ranunculaceae,Caltha,"Caltha palustris var. minor,"
Ranunculaceae,Caltha,Caltha palustris var. stagnalis
Ranunculaceae,Clematis,Clematis connata
Ranunculaceae,Clematis,Clematis florida
Ranunculaceae,Clematis,Clematis gouriana
Ranunculaceae,Clematis,Clematis hedysarifolia
Ranunculaceae,Clematis,Clematis integrifolia
Ranunculaceae,Clematis,Clematis paniculata
Ranunculaceae,Clematis,Clematis trifoliata
Ranunculaceae,Delphinium,Delphinium ajacis
Ranunculaceae,Delphinium,Delphinium belladonna
Ranunculaceae,Delphinium,Delphinium brunonianum
Ranunculaceae,Delphinium,Delphinium californicum
Ranunculaceae,Delphinium,Delphinium chinense
Ranunculaceae,Delphinium,Delphinium consolida
Ranunculaceae,Delphinium,Delphinium formosum
Ranunculaceae,Delphinium,Delphinium grandiflorum
Ranunculaceae,Delphinium,Delphinium tuberosum
Ranunculaceae,Hepatica,Hepatica nobilis
Ranunculaceae,Leptopyrum,Leptopyrum fumarioides
Ranunculaceae,Myosurus,Myosurus minimus
Ranunculaceae,Naravelia,Naravelia zeylanica
Ranunculaceae,Nigella,Nigella damascena
Ranunculaceae,Nigella,Nigella hispanica
Ranunculaceae,Ranunculus,Ranunculus acris
Ranunculaceae,Ranunculus,Ranunculus arvensis
Ranunculaceae,Ranunculus,Ranunculus asiaticus
Ranunculaceae,Ranunculus,Ranunculus caucasicus
Ranunculaceae,Ranunculus,Ranunculus constantinopolitanus
Ranunculaceae,Ranunculus,Ranunculus lanuginosus
Ranunculaceae,Ranunculus,Ranunculus polyanthemos
Ranunculaceae,Ranunculus,Ranunculus reniformis
Ranunculaceae,Ranunculus,Ranunculus sceleratus
Ranunculaceae,Ranunculus,Ranunculus strigillosus
Ranunculaceae,Ranunculus,Ranunculus subpinnatus
Ranunculaceae,Ranunculus,Ranunculus wallichianus
Ranunculaceae,Thalictrum,Thalictrum bulgaricum
Ranunculaceae,Thalictrum,Thalictrum dipterocarpum
Ranunculaceae,Thalictrum,Thalictrum flavum subsp. glaucum
Ranunculaceae,Thalictrum,Thalictrum foetidum
Ranunculaceae,Thalictrum,Thalictrum lucidum
Ranunculaceae,Thalictrum,Thalictrum minus
Ranunculaceae,Thalictrum,Thalictrum simplex
Ranunculaceae,Thalictrum,Thalictrum squarrosum
Ranunculaceae,Trollius,Trollius europaeus
Rhamnaceae,Paliurus,Paliurus
Rhamnaceae,Rhamnus,Rhamnus cathartica
Rhamnaceae,Rhamnus,Rhamnus pallasii
Rosaceae,Agrimonia,Agrimonia eupatoria
Rosaceae,Alchemilla,Alchemilla erythropoda
Rosaceae,Alchemilla,Alchemilla fluminea
Rosaceae,Alchemilla,Alchemilla persica
Rosaceae,Alchemilla,Alchemilla pseudocartalinica
Rosaceae,Alchemilla,Alchemilla sericata
Rosaceae,Amygdalus,Amygdalus fenzliana
Rosaceae,Cerasus,Cerasus avium
Rosaceae,Cerasus,Cerasus incana
Rosaceae,Cotoneaster,Cotoneaster nummularioides
Rosaceae,Cotoneaster,Cotoneaster nummularius
Rosaceae,Crataegus,Crataegus meyeri
Rosaceae,Eriobotrya,Eriobotrya deflexa
Rosaceae,Filipendula,Filipendula vulgaris
Rosaceae,Fragaria,Fragaria vesca
Rosaceae,Geum,Geum rivale
Rosaceae,Geum,Geum urbanum
Rosaceae,Malus,Malus
Rosaceae,Mespilus,Mespilus germanica
Rosaceae,Potentilla,Potentilla aucheriana
Rosaceae,Potentilla,Potentilla bifurca
Rosaceae,Potentilla,Potentilla erecta
Rosaceae,Potentilla,Potentilla fructicosa
Rosaceae,Potentilla,Potentilla glabra
Rosaceae,Potentilla,Potentilla inclinata
Rosaceae,Potentilla,Potentilla parvifolia
Rosaceae,Potentilla,Potentilla recta
Rosaceae,Potentilla,Potentilla szovitsii
Rosaceae,Potentilla,Potentilla tanacetifolia
Rosaceae,Potentilla,Potentilla virgata var. pinnatifida
Rosaceae,Prunus,Prunus cerasifera
Rosaceae,Prunus,Prunus divaricata
Rosaceae,Prunus,Prunus serrulata
Rosaceae,Prunus,Prunus spinosa
Rosaceae,Pyrus,Pyrus calleryana
Rosaceae,Pyrus,Pyrus kawakamii
Rosaceae,Pyrus,Pyrus syriaca
Rosaceae,Rosa,Rosa canina
Rosaceae,Rosa,Rosa iberica
Rosaceae,Rosa,Rosa pimpinellifolia
Rosaceae,Sanguisorba,Sanguisorba minor
Rosaceae,Sanguisorba,Sanguisorba officinalis
Rosaceae,Sorbus,Sorbus torminalis
Rosaceae,Spiraea,Spiraea crenata
Rosaceae,Spiraea,Spiraea hypericifolia
Rubiaceae,Asperula,Asperula glomerata
Rubiaceae,Asperula,Asperula molluginoides
Rubiaceae,Callipeltis,Callipeltis cucullaris
Rubiaceae,Cruciata,Cruciata laevipes
Rubiaceae,Cruciata,Cruciata taurica
Rubiaceae,Galium,Galium aparine
Rubiaceae,Galium,Galium odoratum
Rubiaceae,Galium,Galium verum
Rubiaceae,Sherardia,Sherardia arvensis
Rutaceae,Geijera,Geijera parviflora
Salicaceae,Populus,Populus alba
Salicaceae,Populus,Populus nigra
Salicaceae,Populus,Populus sp.
Salicaceae,Salix,Salix cheilophila
Salicaceae,Salix,Salix cupularis
Salicaceae,Salix,Salix gordejevii
Salicaceae,Salix,Salix pentandra
Sapindaceae,Acer,Acer campestre
Sapindaceae,Acer,Acer hyrcanum
Sapindaceae,Acer,Acer monspessulanum
Sapindaceae,Acer,Acer palmatum
Sapindaceae,Aesculus,Aesculus californica
Sapindaceae,Cupaniopsis,Cupaniopsis anacardioides
Sapindaceae,Koelreuteria,Koelreuteria bipinnata
Sapindaceae,Koelreuteria,Koelreuteria elegans
Sapindaceae,Koelreuteria,Koelreuteria paniculata
Scrophulariaceae,Myoporum,Myoporum laetum
Scrophulariaceae,Myoporum,Myoporum serratum
Scrophulariaceae,Scrophularia,Scrophularia oxysepala
Scrophulariaceae,Scrophularia,Scrophularia umbrosa
Scrophulariaceae,Scrophularia,Scrophularia variegata
Scrophulariaceae,Verbascum,Verbascum orientale
Scrophulariaceae,Verbascum,Verbascum speciosum
Scrophulariaceae,Verbascum,Verbascum suworowianum
Simaroubaceae,Ailanthus,Ailanthus altissima
Solanaceae,Cestrum,Cestrum elegans
Solanaceae,Lycopersicon,Lycopersicon esculentum
Solanaceae,Nicotiana,Nicotiana tabacum
Solanaceae,Solanum,Solanum aculeatissimum
Solanaceae,Solanum,Solanum alatum
Solanaceae,Solanum,Solanum arcanum
Solanaceae,Solanum,Solanum aviculare
Solanaceae,Solanum,Solanum aviculare var. albiflorum
Solanaceae,Solanum,Solanum boerhaavii
Solanaceae,Solanum,Solanum chacoense
Solanaceae,Solanum,Solanum cheesmaniae
Solanaceae,Solanum,Solanum chilense
Solanaceae,Solanum,Solanum chmielewskii
Solanaceae,Solanum,Solanum dulcamara
Solanaceae,Solanum,Solanum duplosinuatum
Solanaceae,Solanum,Solanum galapagense
Solanaceae,Solanum,Solanum giganteum
Solanaceae,Solanum,Solanum habrochaites
Solanaceae,Solanum,Solanum humboldtii
Solanaceae,Solanum,Solanum incanum
Solanaceae,Solanum,Solanum integrifolium
Solanaceae,Solanum,Solanum laciniatum
Solanaceae,Solanum,Solanum luteum
Solanaceae,Solanum,Solanum lycopersicoides
Solanaceae,Solanum,Solanum lycopersicum var. cerasiforme
Solanaceae,Solanum,Solanum neorickii
Solanaceae,Solanum,Solanum nigrum
Solanaceae,Solanum,Solanum pennellii
Solanaceae,Solanum,Solanum pennellii var. puberulum
Solanaceae,Solanum,Solanum peruvianum
Solanaceae,Solanum,Solanum pimpinellifolium
Solanaceae,Solanum,Solanum pyracantha
Solanaceae,Solanum,Solanum simile
Solanaceae,Solanum,Solanum sitiens
Solanaceae,Solanum,Solanum sodomaeum
Solanaceae,Solanum,Solanum sodomeum
Solanaceae,Solanum,Solanum symonii
Solanaceae,Solanum,Solanum triflorum
Solanaceae,Solanum,Solanum tuberosum
Thymelaeaceae,Diarthron,Diarthron linifolium
Thymelaeaceae,Stellera,Stellera chamaejasme
Tropaeolaceae,Tropaeolum,Tropaeolum majus
Typhaceae,Typha,Typha angustifolia
Typhaceae,Typha,Typha orientalis
Ulmaceae,Ulmus,Ulmus glabra
Ulmaceae,Ulmus,Ulmus minor
Ulmaceae,Ulmus,Ulmus parvifolia
Ulmaceae,Ulmus,Ulmus pumila
Ulmaceae,Zelkova,Zelkova serrata
Violaceae,Viola,Viola arvensis
Violaceae,Viola,Viola betonicifolia
Violaceae,Viola,Viola canescens
Violaceae,Viola,Viola odorata
Violaceae,Viola,Viola pilosa
Vitaceae,Vitis,Vitis vinifera
Zingiberaceae,Alpinia,Alpinia japonica
Zingiberaceae,Hedychium,Hedychium spicatum
Zygophyllaceae,Balanites,Balanites aegyptiaca
